mortality
Data Source;World Development Indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last Updated Date;2026-04-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;
Finland;FIN;Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population);SH.STA.WASH.P5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.8;;;;;;;
Fiji;FJI;Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population);SH.STA.WASH.P5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.8;;;;;;;
France;FRA;Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population);SH.STA.WASH.P5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.4;;;;;;;
Faroe Islands;FRO;Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population);SH.STA.WASH.P5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Micronesia, Fed. Sts.;FSM;Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population);SH.STA.WASH.P5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;;;;;;;
Gabon;GAB;Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population);SH.STA.WASH.P5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17.5;;;;;;;
United Kingdom;GBR;Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population);SH.STA.WASH.P5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.1;;;;;;;
Georgia;GEO;Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population);SH.STA.WASH.P5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.3;;;;;;;
Ghana;GHA;Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population);SH.STA.WASH.P5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25.2;;;;;;;
Gibraltar;GIB;Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population);SH.STA.WASH.P5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guinea;GIN;Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population);SH.STA.WASH.P5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;57.8;;;;;;;
Gambia, The;GMB;Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population);SH.STA.WASH.P5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29.5;;;;;;;
Guinea-Bissau;GNB;Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population);SH.STA.WASH.P5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.4;;;;;;;
Equatorial Guinea;GNQ;Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population);SH.STA.WASH.P5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29.7;;;;;;;
Greece;GRC;Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population);SH.STA.WASH.P5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.6;;;;;;;
Grenada;GRD;Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population);SH.STA.WASH.P5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.7;;;;;;;
